bote,"woven basket carried on the back by a strap,often around the forehead","agriculture - equipment,household"
serventi,"waiter,waitress,hospital aid","profession,health - people"
artista,"actor,singer; artist","profession,music,recreation - other"
dirijenti,(choir/orchestra) conductor; person who leads prayers,"profession,music"
guarda,guard,"profession,police - people,army - people"
liurai,"traditional Timorese ruler,king (monarch,cards)","profession,politics - other,tradition,cards"
loro2,"traditional Timorese ruler,below the level of liurai,but above dato","profession,politics - other,tradition"
liurai feto,queen,"profession,politics - other"
nai ulun,"head,ruler","profession,politics - other"
ukun nain,ruler (national leader),"profession,politics - other"
katekista,catechist,"profession,religion - person"
madre,"n title. nun,Sister (Catholic)","profession,religion - person"
padre,"n title. (Catholic) priest,Father,clergy","profession,religion - person"
pastór/a,"n title. (Protestant) minister,pastor,clergy","profession,religion - person"
pendeta,Protestant minister,"profession,religion - person"
profeta,prophet,"profession,religion - person"
sekúriti,security guard,"profession,security - other"
matan-dook,"witchdoctor,traditional healer","profession,tradition,health - people"
buan,"sorcerer,witch","profession,tradition"
kondutór,driver,"profession,vehicle - people"
konjak,bus conductor,"profession,vehicle - people"
mekániku,mechanic,"profession,vehicle - people"
kanalizadór,plumber,"profession,water and sanitation"
ajente,agent,profession
autór,"author,writer",profession
badaen besi,blacksmith,profession
diretór/-ora,"director,head",profession
ema seguransa,security guard,profession
enjenyeiru,engineer,profession
feto luroon,"prostitute,whore",profession
funsionáriu,"office worker,civil servant,staff,employee",profession
hakerek nain,"writer,author",profession
investigadór,investigator,profession
jornalista,"journalist,reporter",profession
konselyeiru,"adviser,counsellor",profession
kordenadór/a,coordinator,profession
kriadu/a,,profession
mandór,foreman,profession
matadalan,guide; guide book,profession
patraun,"business owner,employer,boss,master",profession
pembantu,"household helper,servant",profession
pilotu,pilot,profession
portavós,"spokesperson,spokesman,spokeswoman",profession
sekretaris,secretary,profession
sekretáriu/a,secretary,profession
servidór/a,"waiter,waitress",profession
taksista,taxi driver,profession
trabalyadór,"labourer,worker",profession
xefi,"head,boss,manager,chief. The term is also used jokingly to greet friends",profession
balu,"some (of),part (of); half",quantity
barak,"qnt. many,numerous,a lot; much,lots of",quantity
hira,num. how many; how much; how much (money),quantity
hirak,qnt. these certain (plural specific),quantity
hotu1,qnt. all,quantity
hotu-hotu,"qnt. all,every",quantity
ida-rua,"qnt. one or two,a few,a couple of,several",quantity
karada,truckload,quantity
lubuk,group,quantity
menus,"less,reduce,decline",quantity
metade,half,quantity
nanotak,half-full,quantity
ruma,"qnt. some or other (as yet unknown quantity,or type),any",quantity
sasukat,"measure,something used to measure (e.g. a measuring stick or a cup)",quantity
sorin,nloc. side,quantity
tebe-tebes,"intens. truly,really,extremely,highly,very",quantity
tokon,num. a large number; million,quantity
uitoan,"a little,a little bit of,a small quantity,a few",quantity
wain,"many,much",quantity
máskara,mask,"recreation - other,health - equipment"
lakon,"disappear,be lost,be missing; be defeated","recreation - other,sport,death"
jogu,"game,(sports) match","recreation - other,sport"
manaan,"win,have a victory; beat,defeat; earn","recreation - other,sport"
ai manulii,children's game involving using a long stick (ai inan) to flick a shorter stick (ai oan),recreation - other
atraksi,"show,display,performance (eg. of dancing,singing,martial arts)",recreation - other
audisaun,audition,recreation - other
bár,(drinking) bar,recreation - other
berlindus,(playing) marble,recreation - other
bilyár,billiards,recreation - other
bingo,bingo,recreation - other
boi,swing (for children to play on),recreation - other
bola guling,gambling game in which a player wins if the ball rolls into the hole which has his/her number on it,recreation - other
boneka,"doll,teddy bear,soft toy,cartoon character",recreation - other
brinkedus,toy,recreation - other
bulaun,"balloon,bubble",recreation - other
catur,chess,recreation - other
damas,"draughts,checkers (game)",recreation - other
drama,"play,drama,skit",recreation - other
férias,"holidays,vacation",recreation - other
festa,"party,feast,festival",recreation - other
filmi,"film,movie",recreation - other
filmi boneka,cartoon (film),recreation - other
futu manu,have a cock-fight,recreation - other
halimar,"vti vloc. play,relax,act (in a play); not have a job,unemployed",recreation - other
hobi,hobby,recreation - other
kambalyota,do a somersault,recreation - other
kurukuru,,recreation - other
oin falsu,"mask (for amusement or disguise,not for protection)",recreation - other
pameran,"exhibition,fair",recreation - other
papagaiu,kite (toy),recreation - other
pasiar,"go for an outing,go for a stroll,go for a drive",recreation - other
piaun,(spinning) top,recreation - other
rifa,"raffle,lottery",recreation - other
sapatu roda,roller skates,recreation - other
sinema,"cinema,movie theatre",recreation - other
tapa,hopscotch,recreation - other
taru,"v. gamble,bet,wager",recreation - other
telenovela,TV soap opera,recreation - other
xadrés,chess,recreation - other
matebian,,"religion - other,death,causes of illness"
ai funan midar,ceremony 14 days after a funeral,"religion - other,death"
ai funan moruk,ceremony seven days after a funeral,"religion - other,death"
mate klamar,ghost,"religion - other,death"
mina sarani,holy oil,"religion - other,death"
doutrina,"doctrine,teaching (religious,political)","religion - other,education - subject,politics - other"
relijiaun,religion,"religion - other,education - subject"
teolojia,theology,"religion - other,education - subject"
jejún,fast (abstain from food); fasting,"religion - other,health - procedures"
kaben,marry (in church or civil ceremony),"religion - other,kinship - processes"
hananu,sing (mainly church songs),"religion - other,music"
adora,"worship,venerate","religion - other,speaking"
adorasaun,"worship,adoration","religion - other,speaking"
harohan,"v. pray (for someone/self),intercede in prayer","religion - other,speaking"
omilia,"homily,sermon","religion - other,speaking"
orasaun,"prayer (to God,not to spirits)","religion - other,speaking"
reza,pray (Christian prayer),"religion - other,speaking"
arepende,"repent; regret,feel sorry","religion - other,think"
fiar,"vt vcomp. believe (person,statement),believe in,trust (someone,God...),be sure (that...),be confident (that...)","religion - other,think"
reflesaun,reflection (meditation),"religion - other,think"
kuarezma,lent,"religion - other,time"
Natál,Christmas,"religion - other,time"
Páskua,Easter,"religion - other,time"
Semana Santa,Holy Week (the week leading up to Easter),"religion - other,time"
Sesta Feira Santa,Good Friday,"religion - other,time"
uma adat,named clan house,"religion - other,tradition"
adventu,advent,religion - other
aguabenta,holy water (water blessed by a priest),religion - other
altár,altar,religion - other
Aman Maromak,Father God,religion - other
amén,amen,religion - other
anju,angel,religion - other
Antigu Testamentu,Old Testament,religion - other
apóstolu,apostle,religion - other
Arabi,"Arab,Muslim; Arabia",religion - other
arku,arch,religion - other
asensaun,ascension,religion - other
astrolojia,astrology,religion - other
Ave Maria,Hail Mary,religion - other
batizmu,"baptism,christening",religion - other
bensa,blessing,religion - other
bénsaun,blessing,religion - other
Bíblia,Bible,religion - other
buda,"Buddhism,Buddhist",religion - other
diabu,"evil spirit,demon,devil",religion - other
dioseze,diocese,religion - other
espíritu,spirit,religion - other
espíritu aat,"spirit of evil,evil spirit",religion - other
Espíritu Santu,the Holy Spirit,religion - other
estasaun,station (e.g. of the Stations of the Cross),religion - other
evanjelyu,gospel,religion - other
fé,,religion - other
Finadu,All Souls' Day,religion - other
foo sarani,"baptise,christen",religion - other
futar,"Term used before body-part nouns or lia fuan 'word' when referring to God,or occasionally for high-status humans (e.g. a bishop)",religion - other
glória,glory,religion - other
grasa,(God's) grace,religion - other
hadame,reconcile (two parties),religion - other
hahii,"vt v-ba. praise (God),glorify",religion - other
hahii-hanai,"worship,glorify (God)",religion - other
hindu,Hindu,religion - other
igreja,"church building,church",religion - other
Imakulada Konseisaun,Immaculate Conception,religion - other
infernu,hell,religion - other
Islam,"Muslim,Islam",religion - other
jentiu,,religion - other
kapela,chapel,religion - other
katedrál,cathedral,religion - other
katesizmu,catechism,religion - other
katizmu,catechism,religion - other
katóliku/a,adj n. (Roman) Catholic,religion - other
Kinta Feira Santa,Maundy Thursday,religion - other
klamar,"soul,spirit",religion - other
komunga,receive Holy Communion,religion - other
komunyaun,Holy Communion,religion - other
konfesa,confess (one's sins at confession in church),religion - other
kongregasaun,"congregation (e.g. Carmelites),religious order",religion - other
konventu,convent,religion - other
kreda,"church (the people,the institution)",religion - other
kredu,creed,religion - other
krizma,confirmation (into the church),religion - other
krús,"cross,crucifix",religion - other
kultu,(Protestant) church service,religion - other
leitura,"reading,lectionary reading,reading matter",religion - other
liturjia,liturgy,religion - other
Loron Matebian,All Souls' Day (2nd November),religion - other
lulik,"taboo,sacred",religion - other
maksoin,Saviour (Jesus),religion - other
Maromak,"God,god,deity",religion - other
mesjid,mosque,religion - other
meskita,mosque,religion - other
milagre,miracle,religion - other
misa,(Catholic) mass,religion - other
misaun,mission,religion - other
musulmanu,Muslim,religion - other
Nain Feto,Our Lady,religion - other
Nosa Senyora,Our Lady,religion - other
Novu Testamentu,New Testament,religion - other
ofertóriu,offertory,religion - other
ortóriu,family altar,religion - other
óstia,"communion wafer,host (in eucharist)",religion - other
parókia,parish,religion - other
pároku,parish-,religion - other
pekadu,sin,religion - other
prezépiu,nativity scene,religion - other
protestante,Protestant,religion - other
resureisaun,resurrection,religion - other
reverendu/a,title. Reverend,religion - other
rohan laek,"forever,everlasting,eternal",religion - other
Sabdu Aleluia,Easter Saturday,religion - other
sagradu/a,sacred,religion - other
sala laek,sinless,religion - other
sala nain,sinner,religion - other
salmu,psalm,religion - other
Salmus,Psalms,religion - other
salvasaun,salvation,religion - other
santu/a,"holy,sinless",religion - other
Satanás,"Satan,the Devil",religion - other
Saun,"title. Saint (as a title),St",religion - other
selebrasaun,celebration,religion - other
sertidaun baptizmu,baptismal certificate,religion - other
tersu,rosary beads,religion - other
Testamentu Foun,New Testament,religion - other
Testamentu Tuan,Old Testament,religion - other
ukun fuan,commandment,religion - other
ukun fuan sanulu,the ten commandments,religion - other
uma kreda,"church,place of worship",religion - other
via sakra,Stations of the Cross,religion - other
Virjen Maria,the Virgin Mary,religion - other
votus perpétua,final vows (in the process of becoming a nun),religion - other
Yahudi,"Jew,Jewish",religion - other
administradór apostóliku,apostolic administrator,religion - person
aman sarani,"godfather,male sponsor of confirmation or marriage",religion - person
amu bispu,bishop,religion - person
amu lulik,priest,religion - person
amu papa,the Pope,religion - person
amu pároku,parish priest,religion - person
bispu,bishop,religion - person
disípulu,disciple,religion - person
inan sarani,"godmother,female sponsor of confirmation or marriage",religion - person
irmaun,"brother (religious,social)",religion - person
komadre,n title. godmother of one's child; mother of one's godchild,religion - person
kompadre,n title. godfather of one's child; father of one's godchild,religion - person
kristaun,Christian,religion - person
madrinya,n ; title. godmother,religion - person
Maromak nia atan,"God's servant. In practice this usually refers to Church leaders,especially clergy (i.e. priest,pastor,minister)",religion - person
misionáriu/a,missionary,religion - person
nai lulik,(Catholic) priest,religion - person
oan sarani,godchild,religion - person
padrinyu,godfather,religion - person
salvadór,saviour,religion - person
sarani,baptised Christian,religion - person
bundaran,roundabout,road
dalan,"path,track,road,street; way; means (to do something)",road
dalan ibun,edge of road,road
dalan korta,short-cut,road
dalan ninin,edge of road,road
estrada,"road,street",road
estrada kuak,pothole,road
kruzamentu,"intersection,crossroads",road
luroon,"street,road",road
rotunda,roundabout,road
rua2,street (used in Portuguese street names),road
subida,ascend steeply (of road or track),road
zebra kros,zebra crossing,road
semináriu1,"seminary,Bible college","schools,religion - other"
semináriu maiór,seminary,"schools,religion - other"
akademia,academy,schools
eskola,school,schools
eskola ensinu superiór,"college,university",schools
eskola preprimária,"preschool,kindergarten",schools
eskola presekundária,"junior high school,junior secondary school",schools
eskola primária,"primary school,elementary school",schools
eskola sekundária,"secondary school,senior high school",schools
jardín infantíl,"kindergarten,preschool",schools
koléjiu,"boarding school,boarding house,dormitory",schools
SD,"primary school,elementary school",schools
SMA,"secondary school,senior high school",schools
SMP,"junior high school,junior secondary school",schools
TK,"kindergarten,preschool",schools
universidade,university,schools
aman3,"safe,secure",security - other
ninja,ninja,security - other
seguru,"safe,secure",security - other
badak,"short,brief; shallow; low","size,water and sanitation"
naruk,"long (mainly of horizontal things,hair); deep","size,water and sanitation"
aas1,"tall,high",size
bo-boot,many big,size
boot,"big,large,high-status (person); much; severe,serious (problems),heavy (rain)",size
distánsia,distance,size
dook,"adv ; far,far away,distant",size
g,"g,gram",size
grama,gram,size
kg,"kg,kilogram",size
kiik,"small,little",size
kiik-oan,"tiny,small,little",size
ki-kiik,many small,size
kilograma,kilogram,size
kilómetru,kilometre,size
kilu,,size
klean,deep,size
kloot,"narrow,tight",size
km,"km,kilometre",size
l,"l,litre",size
litru,litre,size
lotuk,"slim,fine,thin,slender",size
luan,"wide,broad,spacious,large (of land area); loose (of clothes)",size
m,"m,metre",size
medida,size,size
metru1,metre,size
mg,"mg,milligram",size
miligrama,milligram,size
mililitru,millilitre,size
milímetru,millimetre,size
ml,"ml,millilitre",size
mm,"mm,millimetre",size
sentímetru,centimetre,size
sentimu2,centimetre,size
ton,"t,tonne",size
tonelada,tonne (1000 kg),size
hotar,"curse,put a curse on","speaking,causes of illness"
malisan,curse,"speaking,causes of illness"
lelir,"v. wail over a dead body. For some speakers,this involves singing recounting the life of the deceased","speaking,death"
istória,"story,tale,account; history","speaking,education - subject"
haruka,"vt v-atu. tell,command,order (someone to do something); send (someone or something)","speaking,exchange"
akuza,accuse,"speaking,law - other"
apela,v-ba. appeal,"speaking,law - other"
deklarasaun,"declaration,statement (esp. of political nature,by formal document)","speaking,law - other"
foo sala,"v-ba. accuse,blame,charge","speaking,law - other"
interogasaun,"interrogation,questioning","speaking,law - other"
jura,"v. swear (an oath),vow","speaking,law - other"
lia,"news,event (especially negative ones,problems)","speaking,law - other"
lia fuan,"word,short segment of speech","speaking,linguistics"
pronúnsia,pronunciation,"speaking,linguistics"
tradús,translate,"speaking,linguistics"
lian,voice; sound,"speaking,music"
intervista,n interview,"speaking,police - other"
durbasa,interpreter,"speaking,profession,linguistics"
intérprete,interpreter,"speaking,profession"
hamulak,"v. pray (to spirits etc,in animist religion)","speaking,religion - other,death"
pregasaun,"preaching,sermon","speaking,religion - other"
afirma,affirm,speaking
agradese,v-ba. thank,speaking
agradesimentu,thanksgiving,speaking
ai knanoik,,speaking
ai sasiik,riddle,speaking
akordu,"accord,agreement,deal",speaking
anúnsiu,public announcement,speaking
apelu,appeal,speaking
aprezenta,"present (e.g. a report),introduce (a person),perform (e.g. a skit,dance)",speaking
aprezentasaun,"presentation,performance,demonstration (of a skill)",speaking
aseita,"accept,assent to,agree to",speaking
autoriza,"authorise,permit,allow",speaking
avizu,"announcement,notice",speaking
bis-bisi,whisper,speaking
boatus,rumour,speaking
bolu1,"vt vb. call (someone something); call,ask (someone to come),summon",speaking
debate,n debate,speaking
dehan,"v. say; that (introduces direct quote); mean,signify",speaking
deklara,declare,speaking
deskreve,describe,speaking
diálogu,dialogue,speaking
diskusaun,discussion,speaking
diskuti,"v. argue,discuss",speaking
duun,"accuse,blame",speaking
esklarese,"v. clarify,explain",speaking
esplika,explain,speaking
esplikasaun,"sermon,explanation",speaking
foo hanoin,"instruct,give instruction; remind; prompt; warn,admonish",speaking
foo hatene,"vt-ba vcomp. inform,tell,report",speaking
foo obrigadu,"v. thank,give thanks",speaking
foo sai,"reveal (a secret); proclaim (a message),announce; admit,confess (sins); express",speaking
gaba,"praise (a person),flatter",speaking
hakilar,"shout,cry out,scream (at),call loudly (of people and animals); whine,yelp (of dog),squeal (e.g. of pig)",speaking
haklaken,preach (esp. God's message),speaking
haklalak,"cheer,shout loudly in a large group",speaking
haksesuk,"v. discuss,argue,quarrel,dispute",speaking
halerik,,speaking
hameno,"request (someone to do something); order (goods); book,make a booking",speaking
hasee,greet,speaking
hasee,"rebuke,reprimand,warn",speaking
hataan,"v. reply,answer,respond; agree,assent to; let,allow,permit",speaking
hatete,"tell,say,state",speaking
husu,"vt v-ba. ask,request",speaking
informa,"inform,tell",speaking
instrusaun,instruction,speaking
insulta,insult,speaking
kesar,"v. report (about someone's faults),tell on,make a complaint against",speaking
klarifika,clarify,speaking
klarifikasaun,clarification,speaking
koalia,speak; talk,speaking
komentáriu,"comment,remark",speaking
komunika,communicate,speaking
komunikasaun,communication,speaking
konkordánsia,agreement,speaking
konsola,console,speaking
konta,"vt vcomp. tell,recount,narrate",speaking
kritika,"criticise,be critical of",speaking
krítika,criticism,speaking
kumprimenta,"v. greet (using Portuguese-derived greetings,such as bon dia 'good morning')",speaking
kumprimentus,"greetings,regards,best wishes",speaking
lia anin,"rumour,hearsay",speaking
lia menon,"message,instructions,parting word",speaking
lia tatoli,message,speaking
litik,"question repeatedly,keep asking questions",speaking
lohi1,"v. lie,deceive,cheat",speaking
manda,"direct,command,order,give orders,order about",speaking
marka,"vcomp. mark,put a mark on; set (date/time)",speaking
mensajen,message,speaking
murmura,"murmur (against),grumble,mutter",speaking
notísia,"piece of news; news broadcast (on radio,television)",speaking
novidade,news; information,speaking
orden,"order,command",speaking
orientasaun,"guidance,guidelines,orientation,training; instructions (on what someone has to do)",speaking
parabéns,"congratulations,happy birthday",speaking
pedidu,"request,application",speaking
pergunta,"question,query",speaking
petisaun,petition,speaking
piadas,veiled speech,speaking
poezia,"poetry,poem",speaking
pouku,mockery,speaking
proklamasaun,proclamation,speaking
promesa,promise,speaking
promete,"v-atu. promise,commit (to doing something)",speaking
protesta,protest,speaking
reklama,"v. demand,claim (as a right)",speaking
rekomenda,recommend,speaking
rekomendasaun,"recommendation,suggestion",speaking
reportajen,(media) report,speaking
responde,"v. respond,answer; address,meet,deal with (needs...)",speaking
resposta,"answer,reply,response",speaking
siik,vt vcomp. guess,speaking
sujestaun,suggestion,speaking
sura2,"sing recounting the life of the deceased,during mourning",speaking
tarata,insult (someone),speaking
temi,"mention,recount something from the past,refer to",speaking
tolok,"insult,swear at",speaking
tradusaun,translation,speaking
trosa,mockery,speaking
finalista,finalist; person who has finished all the coursework for a degree but has not yet graduated,"sport,education - people"
defeza,"defence,(football) back,fullback","sport,law - other"
treinadór/a,(sports) coach; trainer,"sport,profession"
jogadór,"footballer,sports player; (habitual) gambler (especially on cards)","sport,recreation - other"
árbitu,referee,sport
atleta,athlete,sport
avansadu,striker (in soccer),sport
babak,half (in sports),sport
badmintón,badminton,sport
baliza,,sport
basket,basketball,sport
bét,bat (in ping-pong),sport
bokse,boxing (sport),sport
boksiste,boxer,sport
bola,ball,sport
bola basket,"basketball (the ball,not the game)",sport
bola bilyár,billiard ball,sport
bola voli,volleyball (the ball),sport
desportu,sport,sport
ekipa,"team,crew,panel",sport
empata,"draw,tie (in sports)",sport
estádiun,stadium,sport
falta,foul (e.g. in soccer),sport
futeból,"soccer,football",sport
golu,goal (in sport),sport
guardaredi,"goal keeper,goalie",sport
hadau,"snatch,grab,seize,confiscate,raid",sport
halai door,"runner,someone who keeps running away",sport
hasoru,"meet; oppose,against; resist; confront,face (problems)",sport
joga,"play (a particular game,such as football or cards),gamble",sport
kabesa,head (a soccer ball),sport
kampu basket,basketball court,sport
kampu joga bola,football field,sport
kampu tenis,tennis court,sport
kantu,corner,sport
kapten,captain,sport
kartaun kinur,yellow card (in soccer),sport
kartaun mean,red card (in soccer),sport
kartu kuning,yellow card (in soccer),sport
kartu merah,red card (in soccer),sport
kera sakti,kind of Indonesian martial arts,sport
klubu,club (sports),sport
kung fu,kung fu,sport
lugár,place (in a competition),sport
luku,dive,sport
maratona,marathon,sport
médiu,halfback,sport
motokrós,motor cross,sport
olaraga,"sport,physical exercise",sport
parte,part; half (in soccer),sport
penalti,(sports) penalty,sport
petinju,boxer,sport
pingpong,"ping-pong,table tennis",sport
pintas,"dodge,dart out of reach",sport
pixina,swimming pool,sport
poin,point (in sports),sport
raket,"racket (in tennis,badminton)",sport
rugbi,rugby,sport
semifinál,semi-finals,sport
taekwondo,taekwondo,sport
tasa,"(sports) cup,trophy",sport
tebe,kick,sport
tenis,tennis,sport
tenis meza,"table tennis,ping-pong",sport
tinju,boxing (sport),sport
torneiu,tournament,sport
voli,volleyball,sport
wasit,referee,sport
xuta,kick (a stationary thing) hard,sport
adultu,adult,stages of life
bebee,baby,stages of life
ema boot,"VIP,senior person in government",stages of life
feto raan,single woman who is virgin,stages of life
foin sae,young (of adult person),stages of life
idade,age,stages of life
idozu,the aged,stages of life
joven,"young person,youth (esp. male,from about 17 years onwards,still single)",stages of life
juventude,"youth,for youth",stages of life
klosan,"single adult (especially young),spinster,bachelor",stages of life
kosok oan,"newborn,baby (esp. Jesus)",stages of life
labarik,"child,kid",stages of life
labarik feto,girl,stages of life
labarik mane,"boy,lad",stages of life
labarik nurak,baby,stages of life
labarik oan,"infant,young child",stages of life
menina,"Miss,young single lady",stages of life
nurak,young; light (of colour),stages of life
tinan boot,body. old,stages of life
tinan kiik,body. young,stages of life
siin,"sour,stale; ache; spoil,be off (of food)","taste,health - signs and symptoms"
baar,draws one's mouth,taste
gostu,taste,taste
meer,salty,taste
midar,sweet (of food),taste
miis,"insipid,bland,weak,tasteless",taste
moruk,"bitter,unsweetened (of tea,coffee)",taste
sabór,taste,taste
konfundi,confused,"think,emotions,health - signs and symptoms"
argumentu,"argument,reason","think,speaking"
desidi,"vcomp. decide,determine,announce a decision","think,speaking"
kestaun,issue,"think,speaking"
konkorda,"v. assent,agree to","think,speaking"
dekór,"memorise,learn by heart",think
deskobre,,think
deskonfia,"suspect,distrust",think
dúvida,"uncertain,unsure,doubtful",think
haluha,forget,think
hatene,"vt vcomp. know (something),understand,aware of; know how to,be good at",think
interpreta,interpret,think
kompriende,"understand,comprehend; be tolerant of",think
kompriensaun,"understanding,comprehension",think
konfia,trust,think
konfuzaun,confusion,think
laran metin,"body. confident,trust,certain; confidence",think
laran ru-rua,"body. in two minds,uncertain,doubtful,unsure",think
lembra,"remember,recall",think
opiniaun,"opinion,view",think
polémiku,"controversial,contentious",think
proposta,proposal (formal written),think
Domingu Ramus,Palm Sunday,"time,religion - other"
Domingu Resureisaun,Easter Sunday,"time,religion - other"
bailoron,dry season,"time,weather and climate"
aban,tomorrow,time
aban-bainrua,time. in the future,time
Abríl,April,time
agora,"now,at present,nowadays",time
agora dadaun,"adv. at present,nowadays,these days",time
Agostu,August,time
altura,period (of time),time
antes,"adv. formerly,previously; in advance,beforehand",time
anu,year,time
anu novu,New Year,time
anuál,"annual,yearly",time
até,"prep. until,til",time
bain-,cls. day; a counter for time span in days. It occurs with a following number (from 2 to about 7) to specify the number of days from now. e.g. bainrua 'the day after tomorrow'; hori baintolu '3 days ago'. bain cannot occur outside of such expressions,time
bainhaat,in four days' time,time
bainhira,advq. when (in a question about the future),time
bainlima,in five days' time,time
bainneen,in six days' time,time
bainrua,"in two days time,the day after tomorrow",time
baintolu,in three days' time,time
beibeik,"adv. often,always,frequently,continually,constantly",time
dadaun,adv tam. currently (indicates continuous action),time
dadeer,time. morning (until about 11am),time
dadeer-dadeer,adv. every morning,time
dadeer-saan,early morning (from about 5am until about 8am),time
data,date,time
demora,vt delay,time
depois,"connector. then,after that,afterwards,later",time
detík,second (a sixtieth of a minute),time
dezde,"prep cnj. since (time),from (past time,until now)",time
Dezembru,December,time
dia,day,time
Domingu,Sunday,time
durante,"prep cnj. for (period of time),during,throughout,while",time
faze,"phase,stage",time
Fevereiru,February,time
fin de semana,weekend,time
fo-foun,"adv. initially,at first",time
foin,"tam connector. very recently,only just",time
foin dadauk (nee),"adv. recently,a very short time ago",time
foin lalais,"adv. recently,a short time ago",time
folga,have a scheduled day off,time
ful-fulan,"adv. monthly,every month",time
hori,prep. at (past time),time
hori bainhaat,adv. four days ago,time
hori bainhira,advq. when (in a question about the past),time
hori bainhitu,adv. seven days ago,time
hori bainlima,adv. five days ago,time
hori bainneen,adv. six days ago,time
hori bainrua,"adv. two days ago,the day before yesterday",time
hori baintolu,adv. three days ago,time
hori kalan,adv. last night; yesterday evening,time
hori ohin,"adv. a little while ago (today),earlier today",time
hori uluk,adv. very long ago,time
horihorin,"adv. for a while,since earlier today",time
horiseik,yesterday,time
Janeiru,January,time
Julyu,July,time
Junyu,June,time
kadavés,adv. sometimes,time
kalan,"time. evening,night",time
kalan boot,"time. very late at night,in the middle of the night,midnight",time
kalan-kalan,"adv. nightly,every night,every evening",time
Kinta,time. Thursday,time
Kinta feira,Thursday,time
kleur,for a long time,time
kleur-kleur,"adv. seldom; not for a long time; eventually,gradually over a long period of time",time
kuandu,"cnj. whenever,while; if",time
Kuarta,Wednesday,time
Kuarta feira,Wednesday,time
lai,"tam. first (before doing something else),for the time being,for a while",time
lokraik,time. late afternoon (about 3pm until dark),time
loro aas,"sv. midday,noon; the sun is high",time
loro manas,the middle of the day (about 9am to 3pm),time
loro-loron,"adj adv. every day,daily",time
loron,time. day,time
loron aban,future,time
loron baileet,"ordinary days (e.g. working days,non-market days)",time
loron boot,holy day,time
loron-kalan,day and night,time
madrugada,"pre-dawn,very early morning (3-5am)",time
Maiu,May,time
Marsu,March,time
meianoite,midnight,time
meiudia,"time. midday,noon; about 11am-2pm",time
miléniu,millenium,time
minutu,minute (of time),time
momentu,moment,time
naba-naban,"adv. constantly,continuously",time
nanis,"adv tam. a long time ago,beforehand,in advance",time
Novembru,November,time
nunka,"aux. never,not at all",time
ohin,"earlier today,today",time
oin mai,next (year/Saturday...),time
ora,o'clock (used only in uma ora 'one o'clock'; otherwise plural oras is used),time
ora-oras,"on and off,repeatedly",time
oras1,hour; o'clock (preceded by Portuguese numeral),time
Oras Timor Leste,East Timor time,time
orsida,"adv. later today,soon (on the same day)",time
otas,age,time
OTL,East Timor time,time
Outubru,October,time
prazu,"expiry date,used-by date",time
rai huun mutin,"sv. at the crack of dawn (about 5am),at first light",time
rai nakaras,"dusk (just after sunset,when the sky is still coloured)",time
Sabdu,Saturday,time
sedu,early,time
Segunda,Monday,time
Segunda feira,Monday,time
segundu2,second (a sixtieth of a minute),time
seidauk,aux. not yet,time
semana,week,time
semana-semana,adv. weekly,time
sempre,"adv. always,constantly",time
Sesta,Friday,time
Sesta feira,Friday,time
Setembru,September,time
tardi,late,time
Tersa,Tuesday,time
Tersa feira,Tuesday,time
tinan,year,time
tinan atus ida,"century,a hundred years",time
tinan rihun ida,"millenium,a thousand years",time
tinan sanulu,"decade,ten years",time
tuku2,o'clock (followed by Tetun numeral),time
aperta,tighten,tools - processes
dulas,"spin,twist,mill,turn",tools - processes
kore,"undo (e.g. a button),untie,release",tools - processes
sabit,curved sickle,"tools - types,agriculture - equipment,weapons"
taha,short machete for common tasks,"tools - types,agriculture - equipment"
peneira,sieve,"tools - types,cooking equipment"
alat,"tool,instrument,equipment,implement","tools - types,health - equipment"
lámina,razor blade,"tools - types,health - equipment"
kateri,"scissors,shears","tools - types,office equipment,household,health - equipment"
maki,machine,"tools - types,vehicles - parts"
kanuru suru rai,"shovel,spade","tools - types,water and sanitation"
besi kanu,metal pipe,"tools - types,weapons"
alkati,pliers,tools - types
anila,washer (on bolt),tools - types
bahat,chisel,tools - types
besi kusan,nail,tools - types
bibi ain,claw of a hammer,tools - types
bomba1,"pump (to pump air),bicycle pump",tools - types
furadór,drill (tool),tools - types
kadoo,saw (tool for sawing),tools - types
kadoo ai,wood saw,tools - types
kadoo besi,hacksaw,tools - types
limar,"file,rasp",tools - types
lixa,sandpaper,tools - types
mareta,sledgehammer,tools - types
martelu,"hammer,mallet",tools - types
maus,(computer) mouse,tools - types
metru2,tape measure,tools - types
motosera,chainsaw,tools - types
parafuzu,"screw,bolt",tools - types
pinsél,paintbrush,tools - types
porka,nut (on bolt),tools - types
pregu,nail (metal),tools - types
roska,"thread (on a screw,on screw joints)",tools - types
sensor,chainsaw,tools - types
supila,plane (for planing wood),tools - types
xafenda,screwdriver,tools - types
xafenda belar,straight screwdriver,tools - types
xafenda krús,Phillips-head screwdriver,tools - types
xavi,key; spanner,tools - types
xavi Inglés,"wrench,monkey wrench,adjustable spanner",tools - types
sau,ceremony before the start of the corn harvest,"tradition,agriculture - process"
belak,"disk made of gold or silver,used as a chest ornament","tradition,clothes"
kaebauk,"men's headgear in the shape of buffalo horns,worn in traditional ceremonies","tradition,clothes"
keke,bracelet worn by men for traditional occasions,"tradition,clothes"
adat,"tradition,custom,customary law",tradition
ai abut aat,roots used for black magic,tradition
