bote  ,"n. woven basket carried on the back by a strap, often around the forehead. ","Category: agriculture - equipment, household."
Sesta Feira Santa  ,n. Good Friday. ,"Category: religion - other, time."
uma adat  ,n. named clan house. ,"Category: religion - other, tradition."
adventu  ,n. advent. ,Category: religion - other.
aguabenta  ,n. holy water (water blessed by a priest). ,Category: religion - other.
altár  ,n. altar. ,Category: religion - other.
Aman Maromak  ,n. Father God. ,Category: religion - other.
amén  ,excl. amen. ,Category: religion - other.
anju  ,n. angel. ,Category: religion - other.
Antigu Testamentu  ,n. Old Testament. ,Category: religion - other.
apóstolu  ,n. apostle. ,Category: religion - other.
Arabi  ,"n. Arab, Muslim; Arabia. ",Category: religion - other.
arku  ,n. arch. ,Category: religion - other.
asensaun  ,n. ascension. ,Category: religion - other.
astrolojia  ,n. astrology. ,Category: religion - other.
Ave Maria  ,excl. Hail Mary. ,Category: religion - other.
batizmu  ,"n. baptism, christening. ",Category: religion - other.
bensa  ,1 • n. blessing. ,Category: religion - other.
bénsaun  ,n. blessing. ,Category: religion - other.
Bíblia  ,n. Bible. ,Category: religion - other.
buda  ,"n. Buddhism, Buddhist. ",Category: religion - other.
diabu  ,"n. evil spirit, demon, devil. ",Category: religion - other.
dioseze  ,n. diocese. ,Category: religion - other.
espíritu  ,n. spirit. ,Category: religion - other.
espíritu aat  ,"n. spirit of evil, evil spirit. ",Category: religion - other.
Espíritu Santu  ,n. the Holy Spirit. ,Category: religion - other.
estasaun  ,n. station (e.g. of the Stations of the Cross). ,Category: religion - other.
evanjelyu  ,n. gospel. ,Category: religion - other.
fé  ,n.  ,Category: religion - other.
Finadu  ,n. All Souls' Day. ,Category: religion - other.
foo sarani  ,"vt. baptise, christen. ",Category: religion - other.
futar  ,"n. Term used before body-part nouns or lia fuan 'word' when referring to God, or occasionally for high-status humans (e.g. a bishop). ",Category: religion - other.
glória  ,n. glory. ,Category: religion - other.
grasa  ,n. (God's) grace. ,Category: religion - other.
hadame  ,vt. reconcile (two parties). ,Category: religion - other.
hahii  ,"vt v-ba. praise (God), glorify. ",Category: religion - other.
hahii-hanai  ,"vt. worship, glorify (God). ",Category: religion - other.
hindu  ,n. Hindu. ,Category: religion - other.
igreja  ,"n. church building, church. ",Category: religion - other.
Imakulada Konseisaun  ,n. Immaculate Conception. ,Category: religion - other.
infernu  ,n. hell. ,Category: religion - other.
Islam  ,"n. Muslim, Islam. ",Category: religion - other.
jentiu  ,n.  ,Category: religion - other.
kapela  ,n. chapel. ,Category: religion - other.
katedrál  ,n. cathedral. ,Category: religion - other.
katesizmu  ,n. catechism. ,Category: religion - other.
katizmu  ,n. catechism. ,Category: religion - other.
katóliku/a  ,adj n. (Roman) Catholic. ,Category: religion - other.
Kinta Feira Santa  ,n. Maundy Thursday. ,Category: religion - other.
klamar  ,"n. soul, spirit. ",Category: religion - other.
komunga  ,vi. receive Holy Communion. ,Category: religion - other.
komunyaun  ,n. 1 • Holy Communion. ,Category: religion - other.
konfesa  ,vt. confess (one's sins at confession in church). ,Category: religion - other.
kongregasaun  ,"n. congregation (e.g. Carmelites), religious order. ",Category: religion - other.
konventu  ,n. convent. ,Category: religion - other.
kreda  ,"n. church (the people, the institution). ",Category: religion - other.
kredu  ,n. creed. ,Category: religion - other.
krizma  ,1 • n. confirmation (into the church). ,Category: religion - other.
krús  ,"n. cross, crucifix. ",Category: religion - other.
kultu  ,n. (Protestant) church service. ,Category: religion - other.
leitura  ,"n. reading, lectionary reading, reading matter. ",Category: religion - other.
liturjia  ,n. liturgy. ,Category: religion - other.
Loron Matebian  ,n. All Souls' Day (2nd November). ,Category: religion - other.
lulik  ,"1 • adj. taboo, sacred. ",Category: religion - other.
maksoin  ,n. Saviour (Jesus). ,Category: religion - other.
Maromak  ,"1 • n. God, god, deity. ",Category: religion - other.
mesjid  ,n. mosque. ,Category: religion - other.
meskita  ,n. mosque. ,Category: religion - other.
milagre  ,n. miracle. ,Category: religion - other.
misa  ,n. (Catholic) mass. ,Category: religion - other.
misaun  ,n. mission. ,Category: religion - other.
musulmanu  ,n. Muslim. ,Category: religion - other.
Nain Feto  ,n. Our Lady. ,Category: religion - other.
Nosa Senyora  ,n. Our Lady. ,Category: religion - other.
Novu Testamentu  ,n. New Testament. ,Category: religion - other.
ofertóriu  ,n. offertory. ,Category: religion - other.
ortóriu  ,n. family altar. ,Category: religion - other.
óstia  ,"n. communion wafer, host (in eucharist). ",Category: religion - other.
parókia  ,n. parish. ,Category: religion - other.
pároku  ,adj. parish-. ,Category: religion - other.
pekadu  ,n. sin. ,Category: religion - other.
prezépiu  ,n. nativity scene. ,Category: religion - other.
protestante  ,n. Protestant. ,Category: religion - other.
resureisaun  ,n. resurrection. ,Category: religion - other.
reverendu/a  ,title. Reverend. ,Category: religion - other.
rohan laek  ,"adj. forever, everlasting, eternal. ",Category: religion - other.
Sabdu Aleluia  ,n. Easter Saturday. ,Category: religion - other.
sagradu/a  ,adj. sacred. ,Category: religion - other.
sala laek  ,adj. sinless. ,Category: religion - other.
sala nain  ,n. sinner. ,Category: religion - other.
salmu  ,n. psalm. ,Category: religion - other.
Salmus  ,n. Psalms. ,Category: religion - other.
salvasaun  ,n. salvation. ,Category: religion - other.
santu/a  ,"1 • adj. holy, sinless. ",Category: religion - other.
Satanás  ,"n. Satan, the Devil. ",Category: religion - other.
Saun  ,"title. Saint (as a title), St. ",Category: religion - other.
selebrasaun  ,n. celebration. ,Category: religion - other.
sertidaun baptizmu  ,n. baptismal certificate. ,Category: religion - other.
tersu  ,n. rosary beads. ,Category: religion - other.
Testamentu Foun  ,n. New Testament. ,Category: religion - other.
Testamentu Tuan  ,n. Old Testament. ,Category: religion - other.
ukun fuan  ,n. commandment. ,Category: religion - other.
ukun fuan sanulu  ,n. the ten commandments. ,Category: religion - other.
uma kreda  ,"n. church, place of worship. ",Category: religion - other.
via sakra  ,n. Stations of the Cross. ,Category: religion - other.
Virjen Maria  ,n. the Virgin Mary. ,Category: religion - other.
votus perpétua  ,n. final vows (in the process of becoming a nun). ,Category: religion - other.
Yahudi  ,"n. Jew, Jewish. ",Category: religion - other.
administradór apostóliku  ,n. apostolic administrator. ,Category: religion - person.
aman sarani  ,"n. godfather, male sponsor of confirmation or marriage. ",Category: religion - person.
amu bispu  ,n. bishop. ,Category: religion - person.
amu lulik  ,n. priest. ,Category: religion - person.
amu papa  ,n. the Pope. ,Category: religion - person.
amu pároku  ,adj. parish priest. ,Category: religion - person.
bispu  ,n. bishop. ,Category: religion - person.
disípulu  ,n. disciple. ,Category: religion - person.
inan sarani  ,"n. godmother, female sponsor of confirmation or marriage. ",Category: religion - person.
irmaun  ,"n. brother (religious, social). ",Category: religion - person.
komadre  ,n title. godmother of one's child; mother of one's godchild. ,Category: religion - person.
kompadre  ,n title. godfather of one's child; father of one's godchild. ,Category: religion - person.
kristaun  ,n. Christian. ,Category: religion - person.
madrinya  ,n ; title. godmother. ,Category: religion - person.
Maromak nia atan  ,"n. God's servant. In practice this usually refers to Church leaders, especially clergy (i.e. priest, pastor, minister). ",Category: religion - person.
misionáriu/a  ,n. missionary. ,Category: religion - person.
nai lulik  ,n. (Catholic) priest. ,Category: religion - person.
oan sarani  ,n. godchild. ,Category: religion - person.
padrinyu  ,n. godfather. ,Category: religion - person.
salvadór  ,n. saviour. ,Category: religion - person.
sarani  ,1 • n. baptised Christian. ,Category: religion - person.
bundaran  ,n. roundabout. ,Category: road.
dalan  ,"n. path, track, road, street; way; means (to do something). ",Category: road.
dalan ibun  ,n. edge of road. ,Category: road.
dalan korta  ,n. short-cut. ,Category: road.
dalan ninin  ,n. edge of road. ,Category: road.
estrada  ,"n. road, street. ",Category: road.
estrada kuak  ,n. pothole. ,Category: road.
kruzamentu  ,"n. intersection, crossroads. ",Category: road.
luroon  ,"n. street, road. ",Category: road.
rotunda  ,n. roundabout. ,Category: road.
rua2  ,n. street (used in Portuguese street names). ,Category: road.
subida  ,adj. ascend steeply (of road or track). ,Category: road.
zebra kros  ,n. zebra crossing. ,Category: road.
semináriu1  ,"n. seminary, Bible college. ","Category: schools, religion - other."
semináriu maiór  ,n. seminary. ,"Category: schools, religion - other."
akademia  ,n. academy. ,Category: schools.
eskola  ,1 • n. school. ,Category: schools.
eskola ensinu superiór  ,"n. college, university. ",Category: schools.
eskola preprimária  ,"n. preschool, kindergarten. ",Category: schools.
eskola presekundária  ,"n. junior high school, junior secondary school. ",Category: schools.
eskola primária  ,"n. primary school, elementary school. ",Category: schools.
eskola sekundária  ,"n. secondary school, senior high school. ",Category: schools.
jardín infantíl  ,"n. kindergarten, preschool. ",Category: schools.
koléjiu  ,"n. boarding school, boarding house, dormitory. ",Category: schools.
SD  ,"n. primary school, elementary school. ",Category: schools.
SMA  ,"n. secondary school, senior high school. ",Category: schools.
SMP  ,"n. junior high school, junior secondary school. ",Category: schools.
TK  ,"n. kindergarten, preschool. ",Category: schools.
universidade  ,n. university. ,Category: schools.
aman3  ,"adj. safe, secure. ",Category: security - other.
ninja  ,n. ninja. ,Category: security - other.
seguru  ,"adj. safe, secure. ",Category: security - other.
badak  ,"adj. short, brief; shallow; low. ","Category: size, water and sanitation."
naruk  ,"1 • adj. long (mainly of horizontal things, hair); deep. ","Category: size, water and sanitation."
aas1  ,"1 • adj. tall, high. ",Category: size.
bo-boot  ,adj. many big. ,Category: size.
boot  ,"1 • adj. big, large, high-status (person); much; severe, serious (problems), heavy (rain). ",Category: size.
distánsia  ,n. distance. ,Category: size.
dook  ,"adv ; adj. far, far away, distant. ",Category: size.
g  ,"abbrev. g, gram. ",Category: size.
grama  ,n. gram. ,Category: size.
kg  ,"abbrev. kg, kilogram. ",Category: size.
kiik  ,"adj. small, little. ",Category: size.
kiik-oan  ,"1 • adj. tiny, small, little. ",Category: size.
ki-kiik  ,adj. many small. ,Category: size.
kilograma  ,n. kilogram. ,Category: size.
kilómetru  ,n. kilometre. ,Category: size.
kilu  ,n.  ,Category: size.
klean  ,adj. deep. ,Category: size.
kloot  ,"adj. narrow, tight. ",Category: size.
km  ,"abbrev. km, kilometre. ",Category: size.
l  ,"abbrev. l, litre. ",Category: size.
litru  ,n. litre. ,Category: size.
lotuk  ,"adj. slim, fine, thin, slender. ",Category: size.
luan  ,"1 • adj. wide, broad, spacious, large (of land area); loose (of clothes). ",Category: size.
m  ,"abbrev. m, metre. ",Category: size.
medida  ,n. size. ,Category: size.
metru1  ,n. metre. ,Category: size.
mg  ,"abbrev. mg, milligram. ",Category: size.
miligrama  ,n. milligram. ,Category: size.
mililitru  ,n. millilitre. ,Category: size.
milímetru  ,n. millimetre. ,Category: size.
ml  ,"abbrev. ml, millilitre. ",Category: size.
mm  ,"abbrev. mm, millimetre. ",Category: size.
sentímetru  ,n. centimetre. ,Category: size.
sentimu2  ,n. centimetre. ,Category: size.
ton  ,"abbrev. t, tonne. ",Category: size.
tonelada  ,n. tonne (1000 kg). ,Category: size.
hotar  ,"vt. curse, put a curse on. ","Category: speaking, causes of illness."
malisan  ,n. curse. ,"Category: speaking, causes of illness."
lelir  ,"v. wail over a dead body. For some speakers, this involves singing recounting the life of the deceased. ","Category: speaking, death."
istória  ,"n. story, tale, account; history. ","Category: speaking, education - subject."
haruka  ,"vt v-atu. tell, command, order (someone to do something); send (someone or something). ","Category: speaking, exchange."
akuza  ,vt. accuse. ,"Category: speaking, law - other."
apela  ,v-ba. appeal. ,"Category: speaking, law - other."
deklarasaun  ,"n. declaration, statement (esp. of political nature, by formal document). ","Category: speaking, law - other."
foo sala  ,"v-ba. 1 • accuse, blame, charge. ","Category: speaking, law - other."
interogasaun  ,"n. interrogation, questioning. ","Category: speaking, law - other."
jura  ,"v. swear (an oath), vow. ","Category: speaking, law - other."
lia  ,"n. news, event (especially negative ones, problems). ","Category: speaking, law - other."
lia fuan  ,"n. word, short segment of speech. ","Category: speaking, linguistics."
pronúnsia  ,n. pronunciation. ,"Category: speaking, linguistics."
tradús  ,vt. translate. ,"Category: speaking, linguistics."
lian  ,1 • n. voice; sound. ,"Category: speaking, music."
intervista  ,n vt. interview. ,"Category: speaking, police - other."
durbasa  ,1 • n. interpreter. ,"Category: speaking, profession, linguistics."
intérprete  ,n. interpreter. ,"Category: speaking, profession."
hamulak  ,"v. pray (to spirits etc, in animist religion). ","Category: speaking, religion - other, death."
pregasaun  ,"n. preaching, sermon. ","Category: speaking, religion - other."
afirma  ,v. affirm. ,Category: speaking.
agradese  ,1 • v-ba. thank. ,Category: speaking.
agradesimentu  ,n. thanksgiving. ,Category: speaking.
ai knanoik  ,n.  ,Category: speaking.
ai sasiik  ,n. riddle. ,Category: speaking.
akordu  ,"n. accord, agreement, deal. ",Category: speaking.
anúnsiu  ,n. public announcement. ,Category: speaking.
apelu  ,n. appeal. ,Category: speaking.
aprezenta  ,"vt. present (e.g. a report), introduce (a person), perform (e.g. a skit, dance). ",Category: speaking.
aprezentasaun  ,"n. presentation, performance, demonstration (of a skill). ",Category: speaking.
aseita  ,"vt. accept, assent to, agree to. ",Category: speaking.
autoriza  ,"vt. authorise, permit, allow. ",Category: speaking.
avizu  ,"n. announcement, notice. ",Category: speaking.
bis-bisi  ,v. whisper. ,Category: speaking.
boatus  ,n. rumour. ,Category: speaking.
bolu1  ,"vt vb. call (someone something); call, ask (someone to come), summon. ",Category: speaking.
debate  ,n vti. debate. ,Category: speaking.
dehan  ,"v. say; that (introduces direct quote); mean, signify. ",Category: speaking.
deklara  ,vt. declare. ,Category: speaking.
deskreve  ,vt. describe. ,Category: speaking.
diálogu  ,n. dialogue. ,Category: speaking.
diskusaun  ,n. discussion. ,Category: speaking.
diskuti  ,"v. argue, discuss. ",Category: speaking.
duun  ,"vt. accuse, blame. ",Category: speaking.
esklarese  ,"v. clarify, explain. ",Category: speaking.
esplika  ,vt. explain. ,Category: speaking.
esplikasaun  ,"n. sermon, explanation. ",Category: speaking.
foo hanoin  ,"vt. instruct, give instruction; remind; prompt; warn, admonish. ",Category: speaking.
foo hatene  ,"vt-ba vcomp. inform, tell, report. ",Category: speaking.
foo obrigadu  ,"v. thank, give thanks. ",Category: speaking.
foo sai  ,"vt. reveal (a secret); proclaim (a message), announce; admit, confess (sins); express. ",Category: speaking.
gaba  ,"vt. praise (a person), flatter. ",Category: speaking.
hakilar  ,"vt. shout, cry out, scream (at), call loudly (of people and animals); whine, yelp (of dog), squeal (e.g. of pig). ",Category: speaking.
haklaken  ,v. preach (esp. God's message). ,Category: speaking.
haklalak  ,"vi. cheer, shout loudly in a large group. ",Category: speaking.
haksesuk  ,"v. discuss, argue, quarrel, dispute. ",Category: speaking.
halerik  ,v.  ,Category: speaking.
hameno  ,"vt. request (someone to do something); order (goods); book, make a booking. ",Category: speaking.
hasee  ,vt. greet. ,Category: speaking.
hasee  ,"vt. rebuke, reprimand, warn. ",Category: speaking.
hataan  ,"v. reply, answer, respond; agree, assent to; let, allow, permit. ",Category: speaking.
hatete  ,"vt. tell, say, state. ",Category: speaking.
husu  ,"vt v-ba. ask, request. ",Category: speaking.
informa  ,"vt. inform, tell. ",Category: speaking.
instrusaun  ,n. instruction. ,Category: speaking.
insulta  ,vt. insult. ,Category: speaking.
kesar  ,"v. report (about someone's faults), tell on, make a complaint against. ",Category: speaking.
klarifika  ,vt. clarify. ,Category: speaking.
klarifikasaun  ,n. clarification. ,Category: speaking.
koalia  ,1 • vt. speak; talk. ,Category: speaking.
komentáriu  ,"n. comment, remark. ",Category: speaking.
komunika  ,v. communicate. ,Category: speaking.
komunikasaun  ,n. communication. ,Category: speaking.
konkordánsia  ,n. 1 • agreement. ,Category: speaking.
konsola  ,vt. console. ,Category: speaking.
konta  ,"vt vcomp. 1 • tell, recount, narrate. ",Category: speaking.
kritika  ,"vt. criticise, be critical of. ",Category: speaking.
krítika  ,n. criticism. ,Category: speaking.
kumprimenta  ,"v. greet (using Portuguese-derived greetings, such as bon dia 'good morning'). ",Category: speaking.
kumprimentus  ,"n. greetings, regards, best wishes. ",Category: speaking.
lia anin  ,"n. rumour, hearsay. ",Category: speaking.
lia menon  ,"n. message, instructions, parting word. ",Category: speaking.
lia tatoli  ,n. message. ,Category: speaking.
litik  ,"vt. question repeatedly, keep asking questions. ",Category: speaking.
lohi1  ,"v. lie, deceive, cheat. ",Category: speaking.
manda  ,"vt. direct, command, order, give orders, order about. ",Category: speaking.
marka  ,"vcomp. mark, put a mark on; set (date/time). ",Category: speaking.
mensajen  ,n. message. ,Category: speaking.
murmura  ,"vi. murmur (against), grumble, mutter. ",Category: speaking.
notísia  ,"n. piece of news; news broadcast (on radio, television). ",Category: speaking.
novidade  ,n. news; information. ,Category: speaking.
orden  ,"n. order, command. ",Category: speaking.
orientasaun  ,"n. guidance, guidelines, orientation, training; instructions (on what someone has to do). ",Category: speaking.
parabéns  ,"n. congratulations, happy birthday. ",Category: speaking.
pedidu  ,"n. request, application. ",Category: speaking.
pergunta  ,"n. question, query. ",Category: speaking.
petisaun  ,n. petition. ,Category: speaking.
piadas  ,n. veiled speech. ,Category: speaking.
poezia  ,"n. poetry, poem. ",Category: speaking.
pouku  ,n. mockery. ,Category: speaking.
proklamasaun  ,n. proclamation. ,Category: speaking.
promesa  ,n. promise. ,Category: speaking.
promete  ,"v-atu. promise, commit (to doing something). ",Category: speaking.
protesta  ,1 • v. protest. ,Category: speaking.
reklama  ,"v. demand, claim (as a right). ",Category: speaking.
rekomenda  ,v. recommend. ,Category: speaking.
rekomendasaun  ,"n. recommendation, suggestion. ",Category: speaking.
reportajen  ,n. (media) report. ,Category: speaking.
responde  ,"v. respond, answer; address, meet, deal with (needs...) ",Category: speaking.
resposta  ,"n. answer, reply, response. ",Category: speaking.
siik  ,vt vcomp. guess. ,Category: speaking.
sujestaun  ,n. suggestion. ,Category: speaking.
sura2  ,"vt. sing recounting the life of the deceased, during mourning. ",Category: speaking.
tarata  ,vt. insult (someone). ,Category: speaking.
temi  ,"vt. mention, recount something from the past, refer to. ",Category: speaking.
tolok  ,"vt. insult, swear at. ",Category: speaking.
tradusaun  ,n. translation. ,Category: speaking.
trosa  ,n. mockery. ,Category: speaking.
finalista  ,n. finalist; person who has finished all the coursework for a degree but has not yet graduated. ,"Category: sport, education - people."
defeza  ,"n. defence, (football) back, fullback. ","Category: sport, law - other."
treinadór/a  ,n. (sports) coach; trainer. ,"Category: sport, profession."
jogadór  ,"n. footballer, sports player; (habitual) gambler (especially on cards). ","Category: sport, recreation - other."
árbitu  ,n. referee. ,Category: sport.
atleta  ,n. athlete. ,Category: sport.
avansadu  ,n. striker (in soccer). ,Category: sport.
babak  ,n. half (in sports). ,Category: sport.
badmintón  ,n. badminton. ,Category: sport.
baliza  ,n.  ,Category: sport.
basket  ,n. basketball. ,Category: sport.
bét  ,n. bat (in ping-pong). ,Category: sport.
bokse  ,n. boxing (sport). ,Category: sport.
boksiste  ,n. boxer. ,Category: sport.
bola  ,n. ball. ,Category: sport.
bola basket  ,"n. basketball (the ball, not the game). ",Category: sport.
bola bilyár  ,n. billiard ball. ,Category: sport.
bola voli  ,n. volleyball (the ball). ,Category: sport.
desportu  ,n. sport. ,Category: sport.
ekipa  ,"n. team, crew, panel. ",Category: sport.
empata  ,"vi. draw, tie (in sports). ",Category: sport.
estádiun  ,n. stadium. ,Category: sport.
falta  ,n. foul (e.g. in soccer). ,Category: sport.
futeból  ,"n. soccer, football. ",Category: sport.
golu  ,n. goal (in sport). ,Category: sport.
guardaredi  ,"n. goal keeper, goalie. ",Category: sport.
hadau  ,"vt. snatch, grab, seize, confiscate, raid. ",Category: sport.
halai door  ,"n. runner, someone who keeps running away. ",Category: sport.
hasoru  ,"vt. meet; oppose, against; resist; confront, face (problems). ",Category: sport.
joga  ,"vt. play (a particular game, such as football or cards), gamble. ",Category: sport.
kabesa  ,vt. head (a soccer ball). ,Category: sport.
kampu basket  ,n. basketball court. ,Category: sport.
kampu joga bola  ,n. football field. ,Category: sport.
kampu tenis  ,n. tennis court. ,Category: sport.
kantu  ,n. corner. ,Category: sport.
kapten  ,n. captain. ,Category: sport.
kartaun kinur  ,n. yellow card (in soccer). ,Category: sport.
kartaun mean  ,n. red card (in soccer). ,Category: sport.
kartu kuning  ,n. yellow card (in soccer). ,Category: sport.
kartu merah  ,n. red card (in soccer). ,Category: sport.
kera sakti  ,n. kind of Indonesian martial arts. ,Category: sport.
klubu  ,n. club (sports). ,Category: sport.
kung fu  ,n. kung fu. ,Category: sport.
lugár  ,n. place (in a competition). ,Category: sport.
luku  ,v. 1 • dive. ,Category: sport.
maratona  ,n. marathon. ,Category: sport.
médiu  ,n. halfback. ,Category: sport.
motokrós  ,n. motor cross. ,Category: sport.
olaraga  ,"n. sport, physical exercise. ",Category: sport.
parte  ,n. part; half (in soccer). ,Category: sport.
penalti  ,n. (sports) penalty. ,Category: sport.
petinju  ,n. boxer. ,Category: sport.
pingpong  ,"n. ping-pong, table tennis. ",Category: sport.
pintas  ,"vi. dodge, dart out of reach. ",Category: sport.
pixina  ,n. swimming pool. ,Category: sport.
poin  ,n. point (in sports). ,Category: sport.
raket  ,"n. racket (in tennis, badminton). ",Category: sport.
rugbi  ,n. rugby. ,Category: sport.
semifinál  ,n. semi-finals. ,Category: sport.
taekwondo  ,n. taekwondo. ,Category: sport.
tasa  ,"n. (sports) cup, trophy. ",Category: sport.
tebe  ,vt. kick. ,Category: sport.
tenis  ,n. tennis. ,Category: sport.
tenis meza  ,"n. table tennis, ping-pong. ",Category: sport.
tinju  ,v. boxing (sport). ,Category: sport.
torneiu  ,n. tournament. ,Category: sport.
voli  ,n. volleyball. ,Category: sport.
wasit  ,n. referee. ,Category: sport.
xuta  ,n. kick (a stationary thing) hard. ,Category: sport.
adultu  ,n. adult. ,Category: stages of life.
bebee  ,n. baby. ,Category: stages of life.
ema boot  ,"n. 1 • VIP, senior person in government. ",Category: stages of life.
feto raan  ,n. single woman who is virgin. ,Category: stages of life.
foin sae  ,adj. young (of adult person). ,Category: stages of life.
idade  ,1 • n. age. ,Category: stages of life.
idozu  ,n. the aged. ,Category: stages of life.
joven  ,"n. young person, youth (esp. male, from about 17 years onwards, still single). ",Category: stages of life.
juventude  ,"n. youth, for youth. ",Category: stages of life.
klosan  ,"1 • adj. single adult (especially young), spinster, bachelor. ",Category: stages of life.
kosok oan  ,"n. newborn, baby (esp. Jesus). ",Category: stages of life.
labarik  ,"n. child, kid. ",Category: stages of life.
labarik feto  ,n. girl. ,Category: stages of life.
labarik mane  ,"n. boy, lad. ",Category: stages of life.
labarik nurak  ,n. baby. ,Category: stages of life.
labarik oan  ,"n. infant, young child. ",Category: stages of life.
menina  ,"n. Miss, young single lady. ",Category: stages of life.
nurak  ,adj. young; light (of colour). ,Category: stages of life.
tinan boot  ,body. old. ,Category: stages of life.
tinan kiik  ,body. young. ,Category: stages of life.
siin  ,"adj. sour, stale; ache; spoil, be off (of food). ","Category: taste, health - signs and symptoms."
baar  ,adj. draws one's mouth. ,Category: taste.
gostu  ,1 • n. taste. ,Category: taste.
meer  ,adj. salty. ,Category: taste.
midar  ,adj. sweet (of food). ,Category: taste.
miis  ,"adj. insipid, bland, weak, tasteless. ",Category: taste.
moruk  ,"adj. 1 • bitter, unsweetened (of tea, coffee). ",Category: taste.
sabór  ,n. taste. ,Category: taste.
konfundi  ,vi. confused. ,"Category: think, emotions, health - signs and symptoms."
argumentu  ,"n. argument, reason. ","Category: think, speaking."
desidi  ,"vcomp. decide, determine, announce a decision. ","Category: think, speaking."
kestaun  ,n. issue. ,"Category: think, speaking."
konkorda  ,"v. assent, agree to. ","Category: think, speaking."
dekór  ,"vt. memorise, learn by heart. ",Category: think.
deskobre  ,v.  ,Category: think.
deskonfia  ,"vt. suspect, distrust. ",Category: think.
dúvida  ,"1 • adj. uncertain, unsure, doubtful. ",Category: think.
haluha  ,vt. forget. ,Category: think.
hatene  ,"vt vcomp. know (something), understand, aware of; know how to, be good at. ",Category: think.
interpreta  ,v. interpret. ,Category: think.
kompriende  ,"vt. understand, comprehend; be tolerant of. ",Category: think.
kompriensaun  ,"n. understanding, comprehension. ",Category: think.
konfia  ,vt. trust. ,Category: think.
konfuzaun  ,1 • n. confusion. ,Category: think.
laran metin  ,"body. confident, trust, certain; confidence. ",Category: think.
laran ru-rua  ,"body. in two minds, uncertain, doubtful, unsure. ",Category: think.
lembra  ,"vt. remember, recall. ",Category: think.
opiniaun  ,"n. opinion, view. ",Category: think.
polémiku  ,"controversial, contentious. ",Category: think.
proposta  ,n. proposal (formal written). ,Category: think.
Domingu Ramus  ,n. Palm Sunday. ,"Category: time, religion - other."
Domingu Resureisaun  ,n. Easter Sunday. ,"Category: time, religion - other."
bailoron  ,n. dry season. ,"Category: time, weather and climate."
aban  ,n. tomorrow. ,Category: time.
aban-bainrua  ,time. in the future. ,Category: time.
Abríl  ,n. April. ,Category: time.
agora  ,"1 • n. now, at present, nowadays. ",Category: time.
agora dadaun  ,"adv. at present, nowadays, these days. ",Category: time.
Agostu  ,n. August. ,Category: time.
altura  ,n. period (of time). ,Category: time.
antes  ,"adv. formerly, previously; in advance, beforehand. ",Category: time.
anu  ,n. year. ,Category: time.
anu novu  ,n. New Year. ,Category: time.
anuál  ,"adj. annual, yearly. ",Category: time.
até  ,"prep. until, til. ",Category: time.
bain-  ,cls. day; a counter for time span in days. It occurs with a following number (from 2 to about 7) to specify the number of days from now. e.g. bainrua 'the day after tomorrow'; hori baintolu '3 days ago'. bain cannot occur outside of such expressions. ,Category: time.
bainhaat  ,in four days' time. ,Category: time.
bainhira  ,1 • advq. when (in a question about the future). ,Category: time.
bainlima  ,in five days' time. ,Category: time.
bainneen  ,in six days' time. ,Category: time.
bainrua  ,"n. in two days time, the day after tomorrow. ",Category: time.
baintolu  ,in three days' time. ,Category: time.
beibeik  ,"adv. often, always, frequently, continually, constantly. ",Category: time.
dadaun  ,adv tam. currently (indicates continuous action). ,Category: time.
dadeer  ,time. morning (until about 11am). ,Category: time.
dadeer-dadeer  ,adv. every morning. ,Category: time.
dadeer-saan  ,n. early morning (from about 5am until about 8am). ,Category: time.
data  ,n. date. ,Category: time.
demora  ,vt vi. delay. ,Category: time.
depois  ,"1 • connector. then, after that, afterwards, later. ",Category: time.
detík  ,n. second (a sixtieth of a minute). ,Category: time.
dezde  ,"prep cnj. since (time), from (past time, until now). ",Category: time.
Dezembru  ,n. December. ,Category: time.
dia  ,n. day. ,Category: time.
Domingu  ,n. Sunday. ,Category: time.
durante  ,"prep cnj. for (period of time), during, throughout, while. ",Category: time.
faze  ,"n. phase, stage. ",Category: time.
Fevereiru  ,n. February. ,Category: time.
fin de semana  ,n. weekend. ,Category: time.
fo-foun  ,"adv. initially, at first. ",Category: time.
foin  ,"tam connector. very recently, only just. ",Category: time.
foin dadauk (nee)  ,"adv. recently, a very short time ago. ",Category: time.
foin lalais  ,"adv. recently, a short time ago. ",Category: time.
folga  ,1 • vi. have a scheduled day off. ,Category: time.
ful-fulan  ,"adv. monthly, every month. ",Category: time.
hori  ,prep. at (past time). ,Category: time.
hori bainhaat  ,adv. four days ago. ,Category: time.
hori bainhira  ,1 • advq. when (in a question about the past). ,Category: time.
hori bainhitu  ,adv. seven days ago. ,Category: time.
hori bainlima  ,adv. five days ago. ,Category: time.
hori bainneen  ,adv. six days ago. ,Category: time.
hori bainrua  ,"adv. two days ago, the day before yesterday. ",Category: time.
hori baintolu  ,adv. three days ago. ,Category: time.
hori kalan  ,adv. last night; yesterday evening. ,Category: time.
hori ohin  ,"adv. a little while ago (today), earlier today. ",Category: time.
hori uluk  ,adv. very long ago. ,Category: time.
horihorin  ,"adv. for a while, since earlier today. ",Category: time.
horiseik  ,n. yesterday. ,Category: time.
Janeiru  ,n. January. ,Category: time.
Julyu  ,n. July. ,Category: time.
Junyu  ,n. June. ,Category: time.
